"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Chest and tricep","28 May 2025, 09:08","28 May 2025, 10:23","@sofiatorrado","Bench Press (Barbell)",,"",0,"warmup",20,20,,,
"Chest and tricep","28 May 2025, 09:08","28 May 2025, 10:23","@sofiatorrado","Bench Press (Barbell)",,"",1,"warmup",40,12,,,
"Chest and tricep","28 May 2025, 09:08","28 May 2025, 10:23","@sofiatorrado","Bench Press (Barbell)",,"",2,"warmup",60,8,,,
"Chest and tricep","28 May 2025, 09:08","28 May 2025, 10:23","@sofiatorrado","Bench Press (Barbell)",,"",3,"normal",75,6,,,
"Chest and tricep","28 May 2025, 09:08","28 May 2025, 10:23","@sofiatorrado","Bench Press (Barbell)",,"",4,"normal",75,6,,,
"Chest and tricep","28 May 2025, 09:08","28 May 2025, 10:23","@sofiatorrado","Bench Press (Barbell)",,"",5,"normal",75,6,,,
"Chest and tricep","28 May 2025, 09:08","28 May 2025, 10:23","@sofiatorrado","Incline Bench Press (Dumbbell)",,"",0,"normal",55,7,,,
"Chest and tricep","28 May 2025, 09:08","28 May 2025, 10:23","@sofiatorrado","Incline Bench Press (Dumbbell)",,"",1,"normal",55,5,,,
"Chest and tricep","28 May 2025, 09:08","28 May 2025, 10:23","@sofiatorrado","Incline Bench Press (Dumbbell)",,"",2,"normal",55,6,,,
"Chest and tricep","28 May 2025, 09:08","28 May 2025, 10:23","@sofiatorrado","Shoulder Press (Dumbbell)",,"",0,"normal",35,10,,,
"Chest and tricep","28 May 2025, 09:08","28 May 2025, 10:23","@sofiatorrado","Shoulder Press (Dumbbell)",,"",1,"normal",35,10,,,
"Chest and tricep","28 May 2025, 09:08","28 May 2025, 10:23","@sofiatorrado","Shoulder Press (Dumbbell)",,"",2,"normal",35,8,,,
"Chest and tricep","28 May 2025, 09:08","28 May 2025, 10:23","@sofiatorrado","Butterfly (Pec Deck)",,"",0,"normal",55,12,,,
"Chest and tricep","28 May 2025, 09:08","28 May 2025, 10:23","@sofiatorrado","Butterfly (Pec Deck)",,"",1,"normal",57.5,12,,,
"Chest and tricep","28 May 2025, 09:08","28 May 2025, 10:23","@sofiatorrado","Butterfly (Pec Deck)",,"",2,"normal",65,5,,,
"Chest and tricep","28 May 2025, 09:08","28 May 2025, 10:23","@sofiatorrado","Butterfly (Pec Deck)",,"",3,"normal",57.5,3,,,
"Chest and tricep","28 May 2025, 09:08","28 May 2025, 10:23","@sofiatorrado","Triceps Pushdown",,"",0,"normal",26.25,12,,,
"Chest and tricep","28 May 2025, 09:08","28 May 2025, 10:23","@sofiatorrado","Triceps Pushdown",,"",1,"normal",28.75,8,,,
"Chest and tricep","28 May 2025, 09:08","28 May 2025, 10:23","@sofiatorrado","Triceps Pushdown",,"",2,"normal",26.25,10,,,
"Chest and tricep","28 May 2025, 09:08","28 May 2025, 10:23","@sofiatorrado","Triceps Extension (Cable)",,"",0,"normal",18.75,8,,,
"Chest and tricep","28 May 2025, 09:08","28 May 2025, 10:23","@sofiatorrado","Triceps Extension (Cable)",,"",1,"normal",18.75,8,,,
"Chest and tricep","28 May 2025, 09:08","28 May 2025, 10:23","@sofiatorrado","Triceps Extension (Cable)",,"",2,"normal",18.75,8,,,
"Chest and tricep","28 May 2025, 09:08","28 May 2025, 10:23","@sofiatorrado","Lateral Raise (Dumbbell)",,"",0,"normal",15,12,,,
"Chest and tricep","28 May 2025, 09:08","28 May 2025, 10:23","@sofiatorrado","Lateral Raise (Dumbbell)",,"",1,"normal",15,12,,,
"Chest and tricep","28 May 2025, 09:08","28 May 2025, 10:23","@sofiatorrado","Lateral Raise (Cable)",,"",0,"normal",3.75,12,,,
"Chest and tricep","28 May 2025, 09:08","28 May 2025, 10:23","@sofiatorrado","Lateral Raise (Cable)",,"",1,"normal",3.75,12,,,
"Chest and tricep","28 May 2025, 09:08","28 May 2025, 10:23","@sofiatorrado","Lateral Raise (Cable)",,"",2,"normal",3.75,12,,,
"Chest and tricep","28 May 2025, 09:08","28 May 2025, 10:23","@sofiatorrado","Lateral Raise (Cable)",,"",3,"normal",3.75,12,,,
"Legs","27 May 2025, 12:46","27 May 2025, 14:03","@elisabetsvavars","Squat (Barbell)",,"trying different  form",0,"warmup",20,12,,,
"Legs","27 May 2025, 12:46","27 May 2025, 14:03","@elisabetsvavars","Squat (Barbell)",,"trying different  form",1,"warmup",60,12,,,
"Legs","27 May 2025, 12:46","27 May 2025, 14:03","@elisabetsvavars","Squat (Barbell)",,"trying different  form",2,"warmup",80,8,,,
"Legs","27 May 2025, 12:46","27 May 2025, 14:03","@elisabetsvavars","Squat (Barbell)",,"trying different  form",3,"normal",100,8,,,
"Legs","27 May 2025, 12:46","27 May 2025, 14:03","@elisabetsvavars","Squat (Barbell)",,"trying different  form",4,"normal",120,4,,,
"Legs","27 May 2025, 12:46","27 May 2025, 14:03","@elisabetsvavars","Squat (Barbell)",,"trying different  form",5,"normal",120,4,,,
"Legs","27 May 2025, 12:46","27 May 2025, 14:03","@elisabetsvavars","Squat (Barbell)",,"trying different  form",6,"normal",100,8,,,
"Legs","27 May 2025, 12:46","27 May 2025, 14:03","@elisabetsvavars","Leg Extension (Machine)",,"",0,"normal",80,12,,,
"Legs","27 May 2025, 12:46","27 May 2025, 14:03","@elisabetsvavars","Leg Extension (Machine)",,"",1,"normal",80,12,,,
